symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
BSX	BOSTON SCIENTIFIC CORP	101137107	2113434	0.0016519598735611856	-	17207113	USD
HWM	HOWMET AEROSPACE INC	443201108	BKLJ8V2	0.001637394058625917	-	4643849	USD
TT	TRANE TECHNOLOGIES PLC	G8994E103	BK9ZQ96	0.0016345463822727683	-	2563616	USD
WDC	WESTERN DIGITAL CORP	958102105	2954699	0.0016253286424397543	-	3927453	USD
CVS	CVS HEALTH CORP	126650100	2577609	0.001620347689376059	-	14746371	USD
NOC	NORTHROP GRUMMAN CORP	666807102	2648806	0.0016129357930840659	-	1545261	USD
ICE	INTERCONTINENTAL EXCHANGE IN	45866F104	BFSSDS9	0.0015827027970978507	-	6577285	USD
WMB	WILLIAMS COS INC	969457100	2967181	0.0015749436232018153	-	14144101	USD
GD	GENERAL DYNAMICS CORP	369550108	2365161	0.0015487092807707182	-	2949292	USD
CEG	CONSTELLATION ENERGY	21037T109	BMH4FS1	0.001542150695162944	-	3609560	USD
BX	BLACKSTONE INC	09260D107	BKF2SL7	0.0015274162025342832	-	8681999	USD
STX	SEAGATE TECHNOLOGY HOLDINGS	G7997R103	BKVD2N4	0.0015191509955580715	-	2534553	USD
WM	WASTE MANAGEMENT INC	94106L109	2937667	0.0015162437859013729	-	4312810	USD
FCX	FREEPORT MCMORAN INC	35671D857	2352118	0.0015023824483914473	-	16706027	USD
PNC	PNC FINANCIAL SERVICES GROUP	693475105	2692665	0.001491180265106762	-	4683805	USD
MRSH	MARSH + MCLENNAN COS	571748102	2567741	0.0014878166334561787	-	5606552	USD
PWR	QUANTA SERVICES INC	74762E102	2150204	0.0014551130053726327	-	1732323	USD
ADP	AUTOMATIC DATA PROCESSING	053015103	2065308	0.001449516874838919	-	4662983	USD
BK	BANK OF NEW YORK MELLON CORP	064058100	B1Z77F6	0.0014464707541406033	-	7969604	USD
USB	US BANCORP	902973304	2736035	0.0014364790813614376	-	18052291	USD
AMT	AMERICAN TOWER CORP	03027X100	B7FBFL2	0.001434216815826532	-	5431833	USD
JCI	JOHNSON CONTROLS INTERNATION	G51502105	BY7QL61	0.0014243838985234995	-	7109556	USD
EOG	EOG RESOURCES INC	26875P101	2318024	0.0013962246459442815	-	6312457	USD
REGN	REGENERON PHARMACEUTICALS	75886F107	2730190	0.0013857864733884894	-	1172306	USD
ORLY	O REILLY AUTOMOTIVE INC	67103H107	B65LWX6	0.001376757255683384	-	9748307	USD
FDX	FEDEX CORP	31428X106	2142784	0.0013649498171459387	-	2504769	USD
SLB	SLB LTD	806857108	2779201	0.0013645628506728628	-	17355427	USD
